Fyr	AUS	CAN	CHN	DEU	FRA	GBR	HKG	IDN	JPN	KOR	MYS	NZL	PHL	SGP	THA	TWN
1989	105	64		157	151	126	111		126		109	159	122	109	159	
1990	100	59		168	151	128	130		110	136	136	134	99	110	90	
1991	122	58		154	135	127	131		88	162	134	165	115	122	160	
1992	79	60		168	127	113	126	118	77	103	120	101	90	105	79	63
1993	104	55		137	104	97	111	136	86	70	97	137	133	89	161	117
1994	88	54		143	112	87	111	129	75	94	117	93	111	93	87	145
1995	73	54	121	132	102	92	111	128	73	145	103	77	123	104	96	151
1996	97	52	132	140	99	80	113	133	70	117	113	85	114	104	107	132
1997	80	54	125	140	86	77	115	124	63	84	98	71	131	91	68	132
1998	62	57	112	147	82	76	105	124	59	105	103	64	130	96	88	119
1999	61	56	117	98	90	76	103	125	69	80	66	62	137	84	84	122
2000	59	57	93			72	100	95	62	85	60	59	138	81	61	120
2001	60	54	102	144	142	70	100	115	58	109	62	61	117	74	66	120
2002	59	54	102	91	90	71	92	92	54	83	63	59	133	60	63	120
2003	60	53	94	84	79	71	88	92	50	82	58	56	135	56	61	149
2004	55	55	91	81	82	69	97	91	48	73	59	54	130	54	61	129
2005	55	57	90	83	76	68	97	90	46	68	59	95	128	53	61	132
2006	56	60	95	83	74	68	92	93	45	73	59	85	131	55	60	127
2007	55	63	87	79	73	69	93	80	44	77	59	61	107	57	59	107
2008	57	64	99	79	71	71	93	91	43	83	57	60	107	55	58	113
2009	57	68	92	77	70	69	88	91	43	34	56	57	106	55	56	102
2010	55	66	89	76	69	69	83	89	42	32	56	54	89	53	55	90
2011	54	68	87	75	69	68	82	87	42	37	58	53	83	55	55	87
2012	53	67	80	74	70	67	81	85	41	36	58	54	71	53	54	85
2013	53	65	72	78	65	66	79	79	40	38	57	52	105	54	55	85
2014	53	64	75	77	65	65	80	79	39	40	57	52	84	48	56	82
2015	55	64	81	74	60	68	82	79	42	36	57	51	76	50	55	84
2016	53	61	75	76	68	68	82	79	42	41	57	54	76	49	54	80
2017	53	61	59	74	61	65	81	79	42	40	59	53	73	49	54	78
