Country	N(Good)	N(Bad)	Pre-event	Rel. freq.	Event	Rel. freq.	Post-event	Rel. freq.
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
AUS	3109	2113	0.2434	1	0.0134	1	0.0350	1
CAN	5484	4048	0.2215	1	0.0146	1	0.0211	0.998
CHN	3915	2407	0.1903	1	0.0046	1	0.0326	1
DEU	1997	1343	0.2185	1	0.0070	1	0.0179	0.967
FRA	3445	2452	0.1903	1	0.0087	1	0.0165	0.995
GBR	9390	5687	0.2654	1	0.0107	1	0.0350	1
HKG	2485	1738	0.1984	1	0.0199	1	0.0339	0.999
IDN	825	534	0.2062	1	0.0050	0.966	0.0524	0.997
JPN	10644	8485	0.1491	1	0.0033	1	0.0114	0.997
KOR	2263	2143	0.1943	1	0.0015	0.830	-0.0058	0.282
MYS	2174	1635	0.1503	1	0.0083	1	0.0263	1
NZL	629	457	0.2385	1	0.0062	0.998	0.0427	1
PHL	530	329	0.1665	1	0.0049	0.943	0.0415	0.986
SGP	1030	889	0.1562	1	0.0102	1	0.0311	0.996
THA	1307	1113	0.2557	1	0.0065	1	0.0348	0.992
TWN	1477	1439	0.1651	1	0.0045	1	0.0246	0.997
