Fyr	AUS	CAN	CHN	DEU	FRA	GBR	HKG	IDN	JPN	KOR	MYS	NZL	PHL	SGP	THA	TWN
1989	62.7814	7.24137		31.5865	38.2064	41.2589	43.8861		9.93048		30.2487			23.3436		
1990	22.8031	31.3578		63.0851	56.7768	49.7823	52.9941		0.470462	77.6553	10.5003	-19.6712	5.47205	53.3956	19.7448	
1991	18.8003	38.6407		33.8832	40.4712	41.5812	51.4673		34.3198	35.4486	10.8101	82.6291	100	51.8573	-6.73308	
1992	42.5109	44.4906		29.2442	50.5714	55.3979	25.8725	89.5453	23.9297	22.9468	39.5957	89.3359	40.4131	44.0962	47.803	32.616
1993	18.7568	45.0917		21.3767	39.6145	52.3486	51.9735	54.1742	14.7869	40.8589	9.50771	56.8527	4.04289	48.1917	58.25	17.7674
1994	23.0234	37.0364		38.7945	55.1362	46.5846	62.4923	27.9191	19.3471	43.5356	7.06815	11.5059	49.6791	20.547	34.3187	32.3667
1995	39.8323	38.7633	0.300251	71.4651	53.8958	57.9201	48.5765	7.97757	23.5161	26.4125	25.4982	26.5531	35.7643	44.6993	26.0468	1.15473
1996	35.1297	65.3983	51.2303	48.2216	56.0811	53.3466	47.7169	17.2565	21.1237	31.3198	16.7372	65.5988	28.9576	43.4906	34.4307	23.9624
1997	93.934	35.2989	-9.85724	62.6025	6.81955	58.9845	0.173083	33.3557	49.0384	33.9597	18.2884	-62.9129	57.4149	-41.925	52.2998	18.2231
1998	53.0264	52.4215	39.5083	0.0813414	20.8252	57.2459	33.6364	30.7084	41.9915	23.7897	7.32273	33.6535	17.3651	58.6352	24.0258	14.3526
1999	54.7212	25.177	23.8644	33.8084	42.6045	40.7893	-7.97888	26.527	37.2367	20.5242	5.71533	35.8752	39.9613	-5.83761	13.1324	34.3289
2000	41.3341	48.9693	13.4266			31.9254	21.0973	22.3964	33.7132	16.8371	20.6909	46.9944	-5.05653	15.6604	1.31189	39.6994
2001	59.2126	32.5292	49.8899	25.4434	38.3493	40.1144	50.3517	25.4745	26.6468	35.7119	29.468	81.4058	42.1167	44.3998	42.5085	19.3385
2002	32.1861	42.7157	40.7256	42.9007	24.0015	44.9716	26.2651	12.4446	35.195	29.2345	21.0975	58.3523	19.5287	-3.38372	60.6788	39.9531
2003	45.5699	41.1327	60.0807	43.1041	38.5536	35.8005	26.0357	27.3604	39.7736	41.7968	4.40613	32.6833	6.74324	30.1058	26.0656	24.9937
2004	39.1124	40.3668	100	37.567	18.6011	30.9535	54.5341	3.28752	26.0214	-9.91567	57.5805	30.0468	40.6184	82.5035	67.2886	42.8474
2005	43.0463	60.6236	27.874	34.1174	59.1851	49.1304	76.5141	26.6304	39.3783	63.5932	50.4847	54.7203	44.9389	55.2448	44.2788	62.023
2006	46.9088	37.0384	16.809	37.7875	46.0509	44.1213	52.2167	21.2331	48.6905	7.84793	57.1834	43.2538	16.6317	33.8712	45.5656	8.87052
2007	22.402	42.704	13.9259	49.5782	46.077	44.963	30.9021	26.9559	50.3027	29.0965	52.738	52.0888	59.3916	49.1978	62.6816	51.7988
2008	47.0803	36.5056	41.0482	37.7743	55.7724	48.147	43.5154	16.7394	42.3952	5.08504	37.7666	59.2655	-30.9663	28.8907	17.2375	16.7795
2009	35.7299	8.58405	31.6057	26.1485	18.823	18.4282	18.5999	19.0717	27.3758	54.4683	48.3973	65.1542	2.78928	24.3154	38.4922	23.3334
2010	39.9498	13.9607	34.1864	23.1775	40.8923	23.9285	33.7314	28.2377	19.7489	14.9433	30.0982	43.8196	21.4932	43.598	40.7999	37.0461
2011	44.3954	27.1716	51.6252	40.5269	44.3217	48.3389	63.5887	29.8742	45.9681	30.3666	52.9798	61.6754	-16.3404	67.7663	68.3437	46.9344
2012	34.0258	27.7501	62.5097	50.6549	52.1799	46.3162	39.5992	74.0812	49.8109	28.2328	44.7123	43.9697	16.9596	45.1737	49.5368	51.3971
2013	51.7199	24.5014	38.7943	47.1143	34.5089	32.6019	46.0084	23.8136	49.9631	39.5399	45.4364	41.5487	52.613	47.5997	20.3699	47.8344
2014	41.7279	21.7013	25.5051	58.9909	45.9226	46.1512	41.3686	59.3821	25.8165	52.2845	39.1042	73.2543	59.24	32.0992	25.2516	56.1715
2015	61.01	36.5213	34.0155	39.3569	46.4935	47.4677	40.1701	60.1324	49.8549	59.1493	48.4007	33.9698	51.5684	52.5346	62.7739	67.1156
2016	44.3685	26.2277	21.2771	30.6495	33.9019	38.8261	41.2748	43.8062	41.2521	30.0701	62.3067	80.3432	3.40271	19.622	47.3197	56.5287
2017	27.605	19.0725	40.7897	29.3343	46.8882	44.5711	37.5189	31.4018	24.8685	33.8687	44.3597	32.9616	21.9063	38.4633	67.7556	64.312
