Fyr	AUS_T6	CAN_T6	CHN_T6	DEU_T6	FRA_T6	GBR_T6	HKG_T6	IDN_T6	JPN_T6	KOR_T6	MYS_T6	NZL_T6	PHL_T6	SGP_T6	THA_T6	TWN_T6
1989	63	7		32	38	41	44		10		30			23		
1990	23	31		63	57	50	53		0	78	11	-19	5	53	20	
1991	19	39		34	40	42	51		34	35	11	83	100	52	-6	
1992	43	44		29	51	55	26	90	24	23	40	89	40	44	48	33
1993	19	45		21	40	52	52	54	15	41	10	57	4	48	58	18
1994	23	37		39	55	47	62	28	19	44	7	12	50	21	34	32
1995	40	39	0	71	54	58	49	8	24	26	25	27	36	45	26	1
1996	35	65	51	48	56	53	48	17	21	31	17	66	29	43	34	24
1997	94	35	-9	63	7	59	0	33	49	34	18	-62	57	-41	52	18
1998	53	52	40	0	21	57	34	31	42	24	7	34	17	59	24	14
1999	55	25	24	34	43	41	-7	27	37	21	6	36	40	-5	13	34
2000	41	49	13			32	21	22	34	17	21	47	-4	16	1	40
2001	59	33	50	25	38	40	50	25	27	36	29	81	42	44	43	19
2002	32	43	41	43	24	45	26	12	35	29	21	58	20	-2	61	40
2003	46	41	60	43	39	36	26	27	40	42	4	33	7	30	26	25
2004	39	40	100	38	19	31	55	3	26	-9	58	30	41	83	67	43
2005	43	61	28	34	59	49	77	27	39	64	50	55	45	55	44	62
2006	47	37	17	38	46	44	52	21	49	8	57	43	17	34	46	9
2007	22	43	14	50	46	45	31	27	50	29	53	52	59	49	63	52
2008	47	37	41	38	56	48	44	17	42	5	38	59	-30	29	17	17
2009	36	9	32	26	19	18	19	19	27	54	48	65	3	24	38	23
2010	40	14	34	23	41	24	34	28	20	15	30	44	21	44	41	37
2011	44	27	52	41	44	48	64	30	46	30	53	62	-15	68	68	47
2012	34	28	63	51	52	46	40	74	50	28	45	44	17	45	50	51
2013	52	25	39	47	35	33	46	24	50	40	45	42	53	48	20	48
2014	42	22	26	59	46	46	41	59	26	52	39	73	59	32	25	56
2015	61	37	34	39	46	47	40	60	50	59	48	34	52	53	63	67
2016	44	26	21	31	34	39	41	44	41	30	62	80	3	20	47	57
2017	28	19	41	29	47	45	38	31	25	34	44	33	22	38	68	64
