Fyr	AUS_N	AUS_avgeroradj	CAN_N	CAN_avgeroradj	CHN_N	CHN_avgeroradj	DEU_N	DEU_avgeroradj	FRA_N	FRA_avgeroradj	GBR_N	GBR_avgeroradj	HKG_N	HKG_avgeroradj	IDN_N	IDN_avgeroradj	JPN_N	JPN_avgeroradj	KOR_N	KOR_avgeroradj	MYS_N	MYS_avgeroradj	NZL_N	NZL_avgeroradj	PHL_N	PHL_avgeroradj	SGP_N	SGP_avgeroradj	THA_N	THA_avgeroradj	TWN_N	TWN_avgeroradj
1989	73	0.348919	71	0.0832839			30	0.0654255	88	0.0104256	421	0.0413261	54	0.0337956			158	-0.00832246			32	-0.0265967	2	0.124418	2	-0.0908059	21	-0.178069	2	-0.888268		
1990	97	0.166484	206	0.182517			50	-0.0667568	131	-0.0112197	530	0.117059	70	-0.00747875			241	-0.230285	14	0.0716854	28	0.0515805	5	0.257886	10	0.0992161	25	-0.0522866	18	-0.13482		
1991	55	0.0203246	237	0.0827574			48	-0.0909386	182	0.0991881	493	0.109264	82	0.113469			276	0.0208263	62	0.0985362	66	0.0283722	19	0.163528	5	-0.152893	31	0.00727912	16	-0.0172552		
1992	89	-0.0327658	233	-0.098427			57	0.0284294	179	0.0838102	563	0.0435489	105	-0.0110821	19	-0.0963216	296	0.104049	25	-0.043526	93	-0.0319955	34	0.0343029	12	-0.247776	39	-0.115835	28	-0.0443836	6	0.208865
1993	113	-0.0586831	232	-0.108414			75	0.0523244	214	0.0561544	596	0.0264283	102	0.105577	51	0.0999269	302	0.0450533	40	0.147132	98	-0.129171	33	-0.0908181	22	0.194275	42	-0.149911	90	-0.00874014	56	0.113445
1994	136	-0.0567192	229	0.175015			116	0.013162	227	0.0186704	663	-0.0140849	133	0.122853	53	-0.0192685	320	0.0322309	81	0.148265	122	0.0164348	37	-0.0100396	24	-0.0239901	44	-0.0709859	115	-0.11834	91	0.0478962
1995	127	0.0776066	244	0.0326912	28	0.0284314	93	0.0205165	200	0.0744581	722	0.0472439	150	0.0047034	68	0.0387899	313	0.013972	453	6.84364e-05	128	-0.0776189	44	0.0621382	36	-0.188242	55	-0.0482924	173	-0.0689632	158	-0.0220176
1996	134	0.0119768	237	0.0307909	23	-0.200791	25	0.259764	177	0.0639974	667	0.0127591	151	-0.0214614	45	-0.200109	328	0.0614058	351	-0.0317471	146	-0.0569858	38	-0.00355914	33	-0.317978	69	-0.114132	198	0.0165313	100	-0.0932994
1997	4	-0.00183537	21	0.343724	14	-0.592744	51	-0.0892072	27	0.185274	51	0.000935937	27	-0.250506	30	-0.183624	50	0.13064	136	-0.00571901	33	-0.106202	4	-0.0885214	33	-0.0856793	7	0.136414	75	0.170374	28	-0.0815603
1998	177	0.136467	315	0.223474	54	-0.350173	111	-0.110012	241	0.0341562	648	-0.0148417	168	0.23253	51	0.202213	638	0.0545402	354	0.244799	146	0.0736543	50	0.0623333	55	0.202002	68	0.185141	66	-0.00634152	144	0.13462
